Frame,Label,Area,XM,YM,Major,Minor,Angle
1,1N4148WS_300V_2.avi:0.07 s,0.033,1.225,1.099,0.267,0.159,178.166
2,1N4148WS_300V_2.avi:0.13 s,0.033,1.225,1.100,0.266,0.160,178.377
3,1N4148WS_300V_2.avi:0.20 s,0.033,1.225,1.100,0.267,0.160,178.083
4,1N4148WS_300V_2.avi:0.27 s,0.033,1.225,1.100,0.267,0.159,178.354
5,1N4148WS_300V_2.avi:0.33 s,0.033,1.224,1.099,0.267,0.159,178.567
6,1N4148WS_300V_2.avi:0.40 s,0.033,1.225,1.099,0.267,0.159,178.703
7,1N4148WS_300V_2.avi:0.47 s,0.033,1.225,1.100,0.267,0.159,178.176
8,1N4148WS_300V_2.avi:0.53 s,0.033,1.225,1.099,0.267,0.159,178.728
9,1N4148WS_300V_2.avi:0.60 s,0.033,1.225,1.099,0.267,0.160,178.419
10,1N4148WS_300V_2.avi:0.67 s,0.033,1.225,1.100,0.267,0.159,177.804
11,1N4148WS_300V_2.avi:0.73 s,0.033,1.224,1.099,0.267,0.159,178.178
12,1N4148WS_300V_2.avi:0.80 s,0.033,1.224,1.099,0.267,0.159,178.362
13,1N4148WS_300V_2.avi:0.87 s,0.034,1.225,1.100,0.267,0.160,177.852
14,1N4148WS_300V_2.avi:0.93 s,0.033,1.225,1.100,0.267,0.159,178.354
15,1N4148WS_300V_2.avi:1.00 s,0.033,1.225,1.100,0.267,0.160,178.092
16,1N4148WS_300V_2.avi:1.07 s,0.034,1.224,1.100,0.267,0.160,177.960
17,1N4148WS_300V_2.avi:1.13 s,0.034,1.225,1.100,0.266,0.160,178.006
18,1N4148WS_300V_2.avi:1.20 s,0.034,1.225,1.100,0.267,0.160,178.012
19,1N4148WS_300V_2.avi:1.27 s,0.033,1.225,1.100,0.267,0.160,178.358
20,1N4148WS_300V_2.avi:1.33 s,0.033,1.225,1.100,0.267,0.160,178.010
21,1N4148WS_300V_2.avi:1.40 s,0.033,1.225,1.100,0.267,0.160,178.631
22,1N4148WS_300V_2.avi:1.47 s,0.033,1.225,1.099,0.267,0.158,178.568
23,1N4148WS_300V_2.avi:1.53 s,0.034,1.225,1.100,0.267,0.161,177.704
24,1N4148WS_300V_2.avi:1.60 s,0.034,1.225,1.100,0.266,0.161,177.826
25,1N4148WS_300V_2.avi:1.67 s,0.034,1.225,1.102,0.268,0.163,178.207
26,1N4148WS_300V_2.avi:1.73 s,0.033,1.224,1.099,0.267,0.158,178.796
